brandname,pid,pname,product_price,product_volume,category
네오젠더마로지,20255,멀티 플레이 BC 스틱 SPF45/PA++,"32,000원",12g,비비크림
네오젠더마로지,20256,포어 컨트롤 BB,"29,000원",50ml,비비크림
네이처리퍼블릭,90693,프로방스 에어스킨핏 비비크림 SPF35 PA++,"12,900원",30ml,비비크림
네이처리퍼블릭,73595,퓨어 샤인 커버 비비 SPF35 PA++,"5,900원",35g,비비크림
네이처리퍼블릭,8190,보테니컬 그린티 프레시 비비 크림 SPF30PA++,"12,900원",30ml,비비크림
네이처리퍼블릭,8139,스네일 비비크림 SPF30 PA++,"25,000원",40ml,비비크림
네이처리퍼블릭,51685,슈퍼 오리진 아르간 앰플 커버 비비 SPF30 PA++,"22,000원",30ml,비비크림
네이처리퍼블릭,8174,보테니컬 감귤 에센셜 비비 크림 SPF35PA++,"12,900원",30ml,비비크림
네이처리퍼블릭,8138,보테니컬 포어 비비 SPF50+ PA+++,"8,799원",30ml,비비크림
네이처리퍼블릭,8140,포토샷 3D 비비 밤 SPF30 / PA+++,"11,900원",7g,비비크림
네이처리퍼블릭,8064,포토샷 3D 무스 비비 SPF30 / PA++,"10,900원",50g,비비크림
네이처리퍼블릭,11585,하와이안 프레시 포어 비비 SPF50+ PA+++,"8,800원",30ml,비비크림
네이처리퍼블릭,8184,셀부스팅 비비크림 SPF30 PA++,"23,900원",38g,비비크림
네이처리퍼블릭,59045,퓨어 비비크림 SPF30 PA++,"5,500원",15ml,비비크림
네이처리퍼블릭,84900,스네일 솔루션 비비크림 SPF30 PA++,"25,000원",40ml,비비크림
네이처리퍼블릭,98306,네이처 오리진 콜라겐 워터프루프 비비크림 SPF50+ PA++++,"16,900원",45g,비비크림
네이처리퍼블릭,7965,바이 플라워 비비크림 SPF35 PA++,"5,900원",35ml,비비크림
네이처리퍼블릭,8144,멀티 퍼펙션 에센스 인파운데이션 SPF38PA+++,"25,000원",40ml,비비크림
네이처리퍼블릭,7963,슈퍼 오리진 콜라겐 워터프루프 비비크림 SPF46 PA+++,"16,900원",45g,비비크림
네이처리퍼블릭,7958,슈퍼 오리진 콜라겐 비비크림 SPF25 PA++,"15,900원",45g,비비크림
네이처리퍼블릭,8131,슈퍼 오리진 세라마이드 비비크림 SPF25 PA++,"15,900원",45g,비비크림
네이처리퍼블릭,87387,네이처 오리진 콜라겐 비비크림 SPF25 PA++,"15,900원",45g,비비크림
네이처리퍼블릭,86353,프로방스 인텐시브 앰플 비비크림 SPF30 PA++ ,"13,230원",50ml,비비크림
네이처에스씨 (네이처SC),75879,연꽃수 에센스 비비 쿠션 (SPF50 PA+++),"38,000원",15g*2,"비비크림,쿠션타입"
네이크업페이스,86988,아우라 볼륨 에센스 비비스틱,"28,000원",10g,비비크림
누리숲,75350,톤업 워너비비크림,"16,000원",50ml,비비크림
누보셀,28221,에키네 팜 허브 비비크림 [SPF30/PA++],"19,000원",40g,비비크림
뉴가닉,69413,뉴가닉 커스터마이즈 리얼화이트닝 비비,"45,000원",40ml,비비크림
뉴스킨,62081,뉴컬러 라이트스테이 비비 컴팩트 SPF30 PA++,"38,000원",15g*2,비비크림
니오베,12928,아세로라 비블레쉬 밤 SPF37/PA++,"18,000원",40ml,비비크림
니오베,12923,클린시아 클레리파잉 아쿠아 B.B크림 SPF20 PA++,"23,000원",40ml,비비크림
니오베,12927,인텐시브 프리미엄 멀티 트리플 베이스,"38,000원",35ml,"비비크림,메이크업베이스"
니오베,12861,매직 V 멀티플 토탈 에센셜 솔루션 BB크림,"35,000원",40ml,비비크림
다나한,11017,본연채 비비크림 SPF30 PA++,"35,000원",40ml,비비크림
