Item_Id,Brand,Product,Category,Rating,Reviews,Buy_Again
121918,Revlon,Colorstay Ultimate Liquid Lipstick in #1 NUDE,Lipstick,3.7,31,0.8
101677,Korres,Cherry Full Color Gloss #25,Lip Gloss,4.6,31,0.9
35211,Aveda,Lip Glaze in Mango Juice,Lip Gloss,4.3,30,0.86
35619,mark,Glow baby Glow Hook Up Gloss -Sweet Talk ,Lip Gloss,3.8,30,0.7
36745,Clinique,Glosswear for lips Cream Shines- Angel Pink,Lip Gloss,4.6,30,0.8
8086,MAC,Lip lacquer in Rainbeau,Lip Gloss,4.0,30,0.66
34993,mark,Glow Baby Glow Hook Up Lip Gloss - Player,Lip Gloss,4.2,30,0.86
34309,Mary Kate and Ashley ,ULTRA WET LIP GLOSS - NO WAY,Lip Gloss,4.4,30,0.93
34045,Chanel,Infrarouge-  Sweet Sixteen,Lipstick,4.6,30,0.86
33844,Cover Girl,WetSlicks lipgloss - Sugar Maple,Lip Gloss,4.2,30,0.83
37936,Stila,Holiday 2003 Blue Lip Glaze Doubles Set,Lip Gloss,4.3,30,0.83
32347,Lancome,Juicy Tubes - Pinkadelic,Lip Gloss,4.6,30,0.9
37078,Giorgio Armani,Lip Shimmer #2,Lip Gloss,4.7,30,0.83
60315,Bonne Bell,VitaGloss O2 A Splash of Color,Lip Gloss,3.9,30,0.73
40089,Elizabeth Arden,Eight Hour Cream Lip Protectant Stick Sheer Tint SPF 15,Lip Treatments,3.2,30,0.46
41416,MAC,Tinted Lip Conditioner,Lip Treatments,3.8,30,0.6
49594,Burt's Bees,Cherry Lip Gloss,Lip Gloss,2.8,30,0.4
53404,Laura Mercier,Pink Champagne (Fall 2004 Lady Luxe Collection),Lipstick,4.5,30,0.8
59718,Burt's Bees,Strawberry Lip Gloss,Lip Gloss,2.7,30,0.36
27473,Revlon,LipGlide color gloss in Patent Leather Pink 17/210,Lip Gloss,3.7,30,0.76
61090,New York Color,Ultra Last Lip Wear,Lipstick,3.9,30,0.8
63320,Clinique,Color Surge Impossibly Glossy - Braisin,Lip Gloss,4.6,30,0.86
71382,Bobbi Brown,Lip Sheer - Rosy,Lipstick,4.4,30,0.8
72124,L'Oreal,Colour Riche in Sea Fleur,Lipstick,4.7,30,0.93
30924,The Body Shop,Born Lippy,Lips,3.5,30,0.7
14760,MAC,Gleam Lipstick,Lipstick,3.7,30,0.56
25540,Aveda,Lip Tint in Peony,Lip Gloss,4.2,30,0.76
11642,Chanel,Glossimer - Tickled Pink ,Lip Gloss,3.9,30,0.7
3764,Laura Mercier,Lip Sheer in Tender Lips,Lipstick,4.0,30,0.76
8267,Lancome,Rouge Attraction,Lipstick,4.2,30,0.8
2870,Victoria's Secret,Draw Me a Line Lip Pencil,Lip Liners,4.4,30,0.83
1695,Stila,Sport Bare Lip Tint,Lipstick,3.8,30,0.63
8394,Jordana,Lip Gloss,Lip Gloss,3.9,30,0.8
23863,Shiseido ,FT Water In Lip,Lip Treatments,4.5,30,0.83
74004,L'Oreal,HIP brilliant shine lip gloss - adoring,Lip Gloss,4.0,30,0.73
10000,Prada,Lip Balm Tint #2,Lip Treatments,3.8,30,0.7
11540,Bobbi Brown,SPF 15 Lip Tint in Tea Tint,Lip Gloss,3.9,30,0.63
11935,Bobbi Brown,Lip Tint in Tea Rose,Lip Gloss,4.1,30,0.76
24954,Bobbi Brown,Treatment Lip Shine SPF 15 - Naked Pink,Lipstick,4.4,30,0.83
11937,Bobbi Brown,Lip Tint in Blossom,Lip Gloss,4.1,30,0.73
13372,Prestige,Lipliner,Lip Liners,4.3,30,0.83
14202,MAC,Lipstick in Paramount,Lipstick,3.9,30,0.63
14758,MAC,Wuss Lipstick,Lipstick,4.5,30,0.93
16018,Ulta,Lip Liner,Lip Liners,3.0,30,0.56
16519,Clinique,Almost Lipstick - Almost Cocoa,Lipstick,4.4,30,0.8
21046,Dior,Addict Lip Gloss- A Nibble of Nuts-123,Lip Gloss,4.0,30,0.73
24780,Estee Lauder,Pure Color Lipstick-  Nectarine,Lipstick,4.6,30,0.83
24861,Bonne Bell,Lip Smackers - Strawberry Cheesecake,Lip Gloss,3.9,30,0.73
73569,MAC,Chromeglass in Uberpeach,Lip Gloss,4.4,30,0.86
