category,num_of_reviews,product_id
클렌징폼,,61014
바디워시,,89897
핸드케어,,81330
"아이섀도우,블러셔,아이브로우-파우더",,84861
핸드케어,,86262
헤어스타일링,,103803
"립스틱,아이섀도우",,92572
여성향수,,14283
여성향수,,34135
여성향수,,63929
여성향수,,103881
남성향수,,14282
여성향수,,14441
여성향수,,1622
제모제/용품,,89547
스크럽/필링,,100860
크림,,98773
크림,,86420
크림,,81766
미스트,,89097
크림,,89096
뷰러,,81570
아이케어,,100470
선블록,,70113
로션,,22383
크림,,22390
스킨,,22384
아이케어,,22393
로션,,22385
에센스,,22389
"클렌징폼,청결제",,22387
에센스,,22388
비비크림,,22373
페이스오일,,27434
선블록,,79470
수딩젤/팩,,68045
수딩젤/팩,,22370
바디크림,,22374
크림,,22391
바디미스트,,22382
바디미스트,,22380
"크림,화이트닝케어",,22366
샴푸,,22378
스크럽/필링,,22386
바디미스트,,22367
바디미스트,,22379
바디미스트,,22381
클렌징폼,,103611
마스크시트,,14461
클렌징오일,,106658
에센스,,22371
에센스,,22372
바디워시,,22375
샴푸,,22377
크림,,22392
샴푸,,42966
클렌징오일,,22365
에센스,,22368
트리트먼트/팩,,22376
클렌징밀크,,106693
스크럽/필링,,38487
크림,,45441
크림,,92083
마스크시트,,45437
립스틱,,105232
팩트,,22354
"에센스,화이트닝케어",,43140
선쿠션,,94801
파우더,,22352
마스크시트,,99579
"스킨,링클케어,화이트닝케어",,22190
"스킨,화이트닝케어",,22194
크림,,104338
에센스,,106303
스크럽/필링,,77553
마스크시트,,96532
크림,,22256
크림,,102396
"크림,화이트닝케어,선블록",,22241
크림,,82258
에센스,,97211
선블록,,22273
에센스,,22216
마스크시트,,106375
트리트먼트/팩,,88964
클렌징폼,,22151
마스크시트,,102148
크림,,84860
클렌징폼,,22155
"링클케어,바디크림",,22280
스킨,,22177
선블록,,22277
선블록,,22279
로션,,72893
에센스,,22223
"파운데이션,쿠션타입",,101039
"파운데이션,쿠션타입",,22355
스킨,,72983
립글로스/락커,,22358
로션,,83348
수딩젤/팩,,92963
마스크시트,,96543
비비크림,,22345
크림,,22247
에센스,,100135
"스킨,에센스",,81316
클렌징폼,,22156
워시오프,,22285
스킨,,83350
로션,,82253
마스크시트,,97922
스크럽/필링,,22158
"파운데이션,쿠션타입",,82730
선블록,,22278
"클렌징폼,바디워시",,93977
선블록,,22276
로션,,97215
스킨,,83346
스킨,,22192
선블록,,22274
"크림,링클케어,화이트닝케어",,22246
스킨,,90314
팩트,,102218
미스트,,18301
클렌징오일,,87818
클렌징폼,,22154
마스크시트,,77634
비비크림,,22347
에센스,,85446
선스틱,,105134
크림,,22242
마스크시트,,77635
스킨,,82256
선블록,,74015
파운데이션,,22350
선블록,,22271
"로션,화이트닝케어",,22195
스킨,,22179
에센스,,2931
마스크시트,,82263
선블록,,22270
클렌징폼,,70413
워시오프,,34341
"에센스,화이트닝케어",,2930
스킨,,44941
페이스오일,,72894
크림,,22232
마스크시트,,96541
마스크시트,,82260
비비크림,,20072
"파운데이션,쿠션타입",,98997
"에센스,링클케어,화이트닝케어",,5414
마스크시트,,77632
아이케어,,102991
아이케어,,2754
아이케어,,7659
"크림,링클케어",,22249
스킨,,97214
에센스,,101627
스킨,,72892
"에센스,링클케어",,22261
워시오프,,88665
마스크시트,,96540
클렌징폼,,2752
에센스,,90964
스킨,,34446
선블록,,27740
스킨,,22193
크림,,22240
크림,,82623
스킨,,22178
비비크림,,22346
마스크시트,,82262
"크림,링클케어,화이트닝케어",,22243
아이케어,,22264
팩트,,22353
마스크시트,,104417
미스트,,100471
마스크시트,,96544
에센스,,43101
에센스,,22200
클렌징젤,,87004
클렌징오일,,22168
에센스,,87590
로션,,22198
에센스,,94551
립스틱,,81500
헤어에센스,,54509
마스크시트,,82261
제모제/용품,,22283
로션,,83351
아이케어,,7661
클렌징폼,,22169
"크림,링클케어,화이트닝케어",,22245
"크림,링클케어",,22253
마스카라,,22360
픽서/영양제,,22362
립스틱,,22357
마스카라,,22359
픽서/영양제,,22361
에센스,,43137
미스트,,22191
에센스,,97213
"스킨,트러블케어",,22185
에센스,,22260
"에센스,트러블케어",,22202
아이케어,,89786
선스틱,,105280
스크럽/필링,,34371
클렌징폼,,22157
"크림,트러블케어",,22231
스크럽/필링,,22175
"에센스,트러블케어",,22224
크림,,22257
스킨,,88283
"크림,링클케어",,22254
"스킨,화이트닝케어",,22186
클렌징폼,,22159
립스틱,,97875
"로션,화이트닝케어",,22199
클렌징폼,,22170
에센스,,104339
"크림,링클케어,화이트닝케어",,22251
선스프레이,,11276
메이크업,,22349
팩트,,22351
"스킨,링클케어",,22181
