category,brandname,pid,pname,p_score,num_of_reviews
파운데이션,코스메데코르테,7740275,AQ 밀리오리티 리페어 파운데이션,0,0
파운데이션,조르지오 아르마니,34237128,크레마 누다,0,0
파운데이션,샤넬,24289179,수블리마지 르 뗑,0,0
파운데이션,라 프레리,8931444,안티-에이징 파운데이션 쎌루라 에멀전 SPF15,0,0
파운데이션,시슬리,6476648,시슬리아 르 뗑,0,0
파운데이션,끌레드뽀 보떼,7786537,뗑 나뛰렐 크렘므 SPF26 PA++,0,0
파운데이션,끌레드뽀 보떼,7787098,뗑 크렘므 에끌라SPF25 PA++,0,0
파운데이션,코스메데코르테,7738936,AQMW 엘레강트 글로우 리퀴드 파운데이션,0,0
파운데이션,라메르,8809544,더 소프트 플루이드 롱 웨어 파운데이션 SPF20,0,0
파운데이션,시슬리,6477161,휘또 뗑 엑스퍼트,3.5,2
파운데이션,로라 메르시에,23882023,캔들글로우 소프트 루미너스 파운데이션,0,0
파운데이션,디올,24475743,프레스티지 르 넥타 드 뗑,0,0
파운데이션,시슬리,6477240,휘또-블랑 라이트닝 컴팩트 파운데이션 SPF 20,0,0
파운데이션,디올,24513149,프레스티지 라 크렘 드 뗑,0,0
파운데이션,시슬리,6477814,휘또 뗑 에끌라,0,0
파운데이션,에스티로더,6087742,리-뉴트리브 울트라 래디언스 메이크업 SPF15 PA+++,0,0
파운데이션,랑콤,4473036,압솔뤼 에센스 파운데이션,4.6,3
파운데이션,끌레드뽀 보떼,7787166,뗑 훌루이드 에끌라 PF25 PA++,0,0
파운데이션,랑콤,24234909,압솔뤼 세럼 인 오일 컴팩트,0,0
파운데이션,끌레드뽀 보떼,7833533,뗑 나뛰렐 뿌드르 블랑,0,0
파운데이션,디올,24579168,프레스티지 사틴 리바이탈라이징 크림 파운데이션,0,0
파운데이션,라 프레리,8810447,쎌루라 트리트먼트 파운데이션 파우더 피니쉬 SPF 10,4,1
파운데이션,겔랑,71718,빠뤼르 골드 래디언스 파우더 파운데이션 SPF 15 PA++,4,1
파운데이션,코스메데코르테,7738948,AQMW 엘레강트 글로우 파우더 파운데이션,0,0
파운데이션,코스메데코르테,7740182,AQMW 엘레강트 블랜드 파운데이션 SPF20 PA++,0,0
파운데이션,시슬리,6477599,휘또 뿌드르 꽁빡뜨,0,0
파운데이션,샹테카이,23522545,저스트 스킨 안티 스모그 틴티드 모이스처라이저,0,0
파운데이션,시세이도,24601394,퓨처 솔루션 LX 토탈 래디언스 파운데이션,0,0
파운데이션,랑콤,24237492,압솔뤼 프레셔스 셀 크림 파운데이션,0,0
파운데이션,샹테카이,23577845,프로텍션 내츄럴 SPF46 PA+++,0,0
파운데이션,조르지오 아르마니,66868,디자이너 쉐이핑 크림 파운데이션,4.5,9
파운데이션,디올,24479393,캡춰 토탈 컴팩트 트리플 코렉팅 파우더 메이크업 SPF20 PA+++,0,0
파운데이션,샹테카이,23563506,콤팩트 메이크업,0,0
파운데이션,톰포드뷰티,25783709,트레이스레스 퍼펙팅 파운데이션 SPF15,0,0
파운데이션,톰포드뷰티,25784687,트레이스레스 파운데이션 SPF15,0,0
파운데이션,끌레드뽀 보떼,7833491,뗑 스틱 에끌라 SPF17 PA++,0,0
파운데이션,뷰티피플,7440679,백설공주 루미너스 페더 파운데이션 세트,0,0
파운데이션,샹테카이,23577257,퓨처 스킨 파운데이션,0,0
파운데이션,에스케이투,28864,아티산 브러시 파운데이션,3,2
파운데이션,에스케이투,28866,1분 살롱 라이트핏 파운데이션,4.5,2
파운데이션,톰포드뷰티,25780988,워터프루프 파운데이션 앤 컨실러,0,0
파운데이션,샤넬,24297058,비타뤼미에르 훌루이드 파운데이션,3,1
파운데이션,미키모토,25927088,펄 프레셔스 MC 모이스트 파우더 파운데이션 커버,0,0
파운데이션,미키모토,25926914,펄 프레셔스 MC 에센스 리퀴드 파운데이션,0,0
파운데이션,미키모토,25927587,펄 프레셔스 MC 프리미엄 크림 파운데이션,0,0
파운데이션,바비브라운,25143697,5-IN-1 페이스 팔레트,0,0
파운데이션,샤넬,6279740,비타뤼미에르 루스 파우더 파운데이션 SPF15,0,0
파운데이션,웻앤와일드,21849287,커버 올 크림 파운데이션,0,0
파운데이션,토니모리,29318642,피키비키 아트 팝 커버 파운데이션,0,0
파운데이션,웻앤와일드,21845259,포토포커스 파운데이션,2,1
파운데이션,이니스프리,17085,스마트 파운데이션 더스트 블록 SPF35 PA++,0,0
파운데이션,이니스프리,17117,스마트 파운데이션 퍼펙트 커버 SPF33 PA+++,3.2,5
파운데이션,이니스프리,17125,스마트 파운데이션 워터밸런싱,3.5,4
파운데이션,이엘에프,26353457,아크네 파이팅 파운데이션,0,0
파운데이션,네이처리퍼블릭,4895546,보테니컬 바닐라 파운데이션 SPF25 PA++,0,0
파운데이션,데코라걸,34307979,페이퍼 파운데이션,3,1
파운데이션,미샤,32261,매직 쿠션 모이스처 SPF50+ PA+++ (베티붑 에디션),3,2
파운데이션,어퓨,6176435,에어핏 누드 파운데이션 SPF35 PA ++,4,2
파운데이션,아리따움,63151,올데이 스포츠 커버,3.8,7
파운데이션,어퓨,6176322,원샷 커버 파운데이션 SPF40 PA+++,0,0
파운데이션,이엘에프,26352622,뷰티풀리 베어 파운데이션 세럼,0,0
파운데이션,스바보다,22217428,발레 2000 파운데이션,0,0
파운데이션,캐트리스,25645711,12아워 매트 무스 메이크업 파운데이션,0,0
파운데이션,어퓨,22914081,마데카소사이드 스틱 파운데이션,0,0
파운데이션,와이이티,22445537,트릭플레이 파운데이션,0,0
파운데이션,어퓨,70695,에어 핏 텐션 팩트 (리락쿠마 에디션),0,0
파운데이션,어퓨,70599,에어 핏 텐션 팩트,3.7,7
파운데이션,페리페라,34215412,잉크 뽀얀 스킨 틴트,4,12
파운데이션,어퓨,7548347,트리플웨어 파운데이션,3.9,14
파운데이션,캐트리스,20905360,올 매트 플러스 샤인 컨트롤 메이크업 파운데이션,0,0
파운데이션,씨엘포,29245026,콜라겐 B&C 밤,0,0
파운데이션,16브랜드,34717866,비비킹 파운데이션,0,0
파운데이션,아리따움,6174573,올데이 컴팩트 파운데이션,4.5,2
파운데이션,미샤,5557171,매직 쿠션 베티붑 에디션,0,0
파운데이션,미샤,5557067,더 스타일 피팅 웨어 파운데이션,3.8,5
파운데이션,토니모리,6331039,페이스믹스 스킨 파운데이션 SPF31 PA++,0,0
파운데이션,어퓨,23867609,모이스처 누드 파운데이션,4,1
파운데이션,에뛰드하우스,27108,플레이 101 스틱 파운데이션,3.4,11
파운데이션,어퓨,34231107,퍼스널 톤 파운데이션,4.5,2
파운데이션,어퓨,10156065,수부지 파운데이션 SPF30 PA++,3.5,6
파운데이션,아리따움,17280375,풀커버 파운데이션 NEW,3.5,6
파운데이션,에이지투웨니스,29265770,시즌9 커버팩트,4,8
파운데이션,마죠리카 마죠르카,4640151,누드 메이크젤 LB,2.6,3
파운데이션,어퓨,33485618,원더 텐션 팩트(모이스트) [리미티드 에디션],0,0
파운데이션,어퓨,33485653,원더 텐션 팩트(퍼펙트커버) [리미티드 에디션],0,0
파운데이션,홀리카홀리카,5710458,커버메이징 슈퍼핏 파운스틱,3.5,9
파운데이션,에뛰드하우스,27166,스테이 업 파운데이션,3,1
파운데이션,아리따움,32570,올데이 래스팅 파운데이션,3.6,5
파운데이션,토니모리,6331207,페이스믹스 피팅 파운데이션 SPF30 PA++,0,0
파운데이션,더샘,31930,에코 소울 리얼 핏 파운데이션 SPF30 PA++,3.7,11
파운데이션,아라탑페이스,7546723,퍼펙트 롱 웨어 파운데이션,4.2,9
