,review,score,tag
13,일단^^상품이 너무 좋아요 1+1할때 사서 2개나 받아서 더 좋구요엄마가 하나 달라고 조르네요!ㅠㅠ근데 배송이 조금 맘에 들지 않았어요 11시쯤에 문자로 배송하겠다고 했는데... 도착한건 7시 넘어서 받았어요..그것두 제가 택배담당자에게 문자를 드려서 받은거구요...받자마자 얼굴에 발라봤는데 너무 좋아요촉촉하구 그렇다구 기름기 많아보이지도 않구요..펄이 약간 드러있어서 얼굴이 반짝반짝 빛나요제가 타사 비비를 쓰고 있는데 그건 촉촉하지 않아서 바르고나서 파우더를 바르면 화장이 떠보였는데이건 파우더를 발라도 촉촉함이 남아 있어요^^어쨋든 너무 좋네요 .제가 이렇게 상품평 많이 써본적이 없는데 정말 좋아요!다른분들도 선택하세요~ 실망하지 않습니당♡,5,
14,"음~ 괜찮은것같아요-앞에 분들이 말씀하신것처럼 그~렇게 대단할만큼 좋은지는 솔직히 모르겠네요.그래도, 1+1에다가 이것저것 샘플도 다른데보다 많이 챙겨주시고비타민C도 하나 챙겨넣어주셨더라구요^^감사히 잘 먹었답니다+_+50g짜리 두개해서, 100g이 되요-엔뜨리다 제품은 처음 써보는건데,,지금도 바르고있는데. 피부 트러블도 없고 괜찮아요^^근데 제 피부에 비해서 색이 좀 짙은걸까요?아님, 오늘 날씨가 너무 왔다갔다해서 그런지, 생각보다 안먹어서ㅠㅜ 그래도 만족만족만족-",5,
15,허허허 푸짐하네염 넹 구성품이 이렇게 왓네염 며칠전에 받앗는데 이제 올려염 일단 비비하나 뜯어서 사용해 보고 있는데 비비 용기가 불량인지 짜는 부분이 휘어져 있더라구염; (어떻게 말로 설명 불가) 아무튼 뭐 제품에 이상 없으니 패스 전에는 더페샵 비비랑 에뛰드 베이스 섞어서 사용햇거든염 그래서인지 커버력에선 좀 떨어지는게비교가 되네염 커버력 쎈걸 원하는 저는 이부분에서 좀 실망 하지만 섞어쓰는게 이젠 귀찬...아서 나머지는다 괜춘한 거 같애염ㅋ_ㅋ 얼굴 찍어서 올리기 뭐해서 그냥 말로 설명드렸슴다 제 글 참고하시구염 즐거운 쇼핑 되세염,5,
16,상품평이 좋아서 구입했어요...견본뜯어서 발라봤는데요.. 발리는건 좋구요... 바르고 좀지나니 바로 뽀송뽀송하드라구요..근데 솔직히.. 화사한건 없네요.. 이거 발랐더니 피부톤이 죽었어요 ;;;제 피부보다 좀 어두워서그런지.. 전체적으로 어두워보이네요..전 더 화사하길 바랬는데 ;;; 기대를 많이해서그런지... 타사 비비랑 별반차이 없는것같아요..반품하고싶은뎅... 견본하나 뜯어서.. 반품도 안되겠죠?? 번거로워서 걍 쓰긴쓰려구요 ...,5,
17,BB크림은 첨으로 사용해 보는 데요.....다른 제품들과 비교는 할 수 없지만....좋은 것 같다는 생각이 들어요...번들거리거나 그런것도 잘 모르겠고...(T존은 장시간이 지나면 항상 조금은 번들 거렸는데...평소 정도랄까?? ^^;;)근데 확실이 피부톤은 균일하게 되더라구요..그건 정말 좋았습니다...펄감도 있어 좀 탱탱해 보이면서 화사하고...다만 여튼 잡티는  좀 가려지지만 ...컨실러를 사용해서 가린 잡티가 시간이 지나서 보니 조금더 두더러저 보이는 것 같기도 하고....컨실러가 지워질 정도의 시간도 아니였는데.....흠....허튼 그 부분은 좀더 사용해 봐야 알 것 같아요....참....함께 온 셈플 기본 구성보다 더 넣어 주셨더라구요...감사하게 잘 쓰겠습니다~~~♥,5,
18,"친구가 예전에 샘플을 줬었어요,그래서 처음 써보았는데요. 제가 원래 엔프라니에서 나온 에스클라를 썼었어요. 선물 받아서 에스클라를 썼는데요. 엔뜨라다 쓰고서 완전 반했어요. 그래서 11번가에서 1+1 펄비비를 구입했어요. 주위에서도 써보라고 정품을 짜주었는데요. 다들 반응이 좋다고 난리에요. 이번에 재구매하는데, 조고만 크림하나가 더왔네요. 코팩이랑. 거기다 섬세하게 문자까지 보내주셨어요. 너무 감사해요. 가격대비에 완전완전 좋아요. 진짜 이거 비비쓰고난후로는 다른거 안써요. 아니, 못씁니다. 많이파세요!!! ^_^",5,
19,저는 피부 트러블이 없는 편이라.. 이 제품을 썼을때 트러블 없이 만족스러웠습니다. 비비도 처음에 어디가 좋은지 모르고 구매해서 사용했을때에는.. 색깔의 차이가 있더라구요.. 쫌 어두운것도 있고 밝은것두 있고.. 저는 피부가 밝은 편이라 어두운건 안맞더라구요.. 그래서 비비 고를때 고민도 마니하고 상품평도 많이 읽어보고 구매했습니다. 이제품을 구매했을때도 마찬가지였고.. 특히 펄 비비라 더 마음에 들었습니다.. 왠지 요즘 얼굴이 생기가 없다는 느낌을 많이 받아서요..ㅎ; 직접 발랐을때 펄의 느낌은 거의 없고 미세한 펄감이구요.. 색도 그렇게 어둡지도 않고 그렇게 밝지도 않습니다. 각기 피부색에 따라.. 사용자의 느낌은 다를수 있지만.. 저는 만족스럽게 사용해서.. 재구매 했습니다..^^,,
20,일단 스킨 로션만 바르고 비비를 발라봤습니다. 원래 썬크림도 바르고 바르는데 이번엔 커버력도 볼 겸 그냥 발랐어요. 사진에 보는 것처럼 어느정도 커버되는게 보이네요. 파우더를 바르고 나니 더 안보이고 위에 팩트까지 하고 나니 거의 없어지네요. 눈 옆인데다가 머리카락으로도 많이 가려지는 부분이라 커버에 크게 신경쓰지는 않습니다만(자체가 그런데 크게 관심이 없음) 그래도 그것만으로도 크게 커버되는거 보니 괜찮네요. 하나 가격에 엄마랑 나랑 하나씩 쓸수 있으니 그 또한 맘에 들어요. 같이 보내주신 사은품들도 잘 사용하겠네요. 비타민도 맛나게 먹겠습니다.,,
21,배송도 빠르고 할인쿠폰 쓰고 또 쓰고완젼 싸게 구입했어요 ㅋㅋㅋㅋ안그래도 비비크림 다써가서 고민하던 찰라에 이용 후기에 다들 죠타고 하셔서 한번 써보렵니다 ㅋ민감한 피부라 트러블이 있을까 걱정이 되긴 하지만... 믿습니다 ㅎ손등에 살짝 발라봤는데요~펄이 그렇게 많이 들어가진 않았네요 ^^약간 쪼끔 실망... ㅋ낼 아침에 써보구요~잘맞으면 또 쓸께요~용량이 많지 않아서 금방쓸꺼같애요...엄마랑 나눠서 하나씩 ㅋ사업 번창 하세요 ^^,5,
22,폼이랑 필링도 좋았지만 진짜진짜 BB는 이보다 더 좋을순 없다 예요^ㅎ^ 너무 매트하지도 유분이 넘치지도 않고 나 비비크림 발랐어요 하고 티 팍팍내지도 않고~.~ 색도 은은하게 이쁘고 스미는 느낌이나 바른후에 피부표현색이 정말 자연스러워요 설명서도 여러개의 기능이 되더라구요 리뷰 안쓴지 오래되었는데 제품이 너무 좋고 물건을 구매하고 그냥그래 또는 괜찮네 가 아닌 제품도 ㄷㅐ만족스럽고 무엇보다 친절함과 성의있는 판매가 감사해서 남기고 갑니다 사은품도 꼼꼼하게 여러개 보내주시는것도 좋구요 배송 늘 주문한후 다음날발송이고 모든게 완벽합니다,5,
